"choice1","choice2","choice3","choice4","correct_choice","question_index"
Berlin,Paris,Londres,Rome,2,1
Or,Oxygène,Hydrogène,Carbone,2,2
"6","7","5","8",2,3
Victor Hugo,Antoine de Saint-Exupéry,Molière,Albert Camus,2,4
Mandarin,Anglais,Espagnol,Hindi,1,5
Océan Indien,Océan Pacifique,Océan Atlantique,Océan Arctique,2,6
"1979","1991","1989","1969",3,7
"5","7","8","6",2,8
Mars,Saturne,Jupiter,Vénus,1,9
Euro,Yen,Won,Dollar,2,10
Raphaël,Monet,Michel-Ange,Léonard de Vinci,4,11
Russie,Canada,États-Unis,Chine,1,12
Melbourne,Sydney,Canberra,Adélaïde,3,13
K2,Everest,Mont Blanc,Kilimandjaro,2,14
"1979","1969","1959","1989",2,15
Cu,Ag,Au,Fe,3,16
Balzac,Victor Hugo,Zola,Flaubert,2,17
Guépard,Lion,Gazelle,Tigre,1,18
"11","12","7","10",1,19
Rome,Paris,Berlin,Londres,2,20
Nirvana,AC/DC,Queen,The Beatles,3,21
Guitare,Piano,Batterie,Violoncelle,2,22
Memphis,Dallas,Detroit,Nashville,1,23
Blues,Jazz,Rock,Reggae,4,24
Prince,Michael Jackson,Elvis Presley,Freddie Mercury,2,25
Saxophone,Guitare,Piano,Trompette,2,26
Rihanna,Adele,Beyonce,Lady Gaga,2,27
Rock,Musique improvisée,Pop,Classique,2,28
Bach,Ludwig van Beethoven,Vivaldi,Mozart,2,29
Queen,Nirvana,U2,Muse,2,30
Piano,Violon,Guitare,Flûte,2,31
John Lennon,Jim Morrison,David Bowie,Bob Dylan,4,32
Whitney Houston,Aretha Franklin,Adele,Mariah Carey,2,33
Contrebasse,Violon,Guitare,Violoncelle,2,34
Jazz,Rap,Soul,Pop,3,35
Elvis Presley,Prince,Freddie Mercury,Michael Jackson,2,36
Salsa,Tango,Valse,Rock,1,37
House,Disco,Jazz,Techno,4,38
Bach,Mozart,Chopin,Handel,2,39
Ska,Reggae,Blues,Rock,2,40
Steven Spielberg,James Cameron,Quentin Tarantino,George Lucas,2,41
Cobb,Bruce,Jack,Maximus,1,42
Gladiator,Forrest Gump,Le Parrain,Titanic,2,43
Gal Gadot,Scarlett Johansson,Emma Watson,Jennifer Lawrence,1,44
Pulp Fiction,Forrest Gump,Braveheart,Shawshank Redemption,2,45
Christopher Nolan,Martin Scorsese,Quentin Tarantino,James Cameron,3,46
Harry Potter,Draco Malfoy,Hermione Granger,Ron Weasley,1,47
Sony Pictures,Pixar,Disney,DreamWorks,2,48
Conjuring,Ça (It),Shining,Carrie,2,49
Tom Cruise,Johnny Depp,Leonardo DiCaprio,Brad Pitt,2,50
Saw,Le Silence des agneaux,Seven,Inception,2,51
C-3PO,R2-D2,BB-8,Wall-E,2,52
Sean Connery,Pierce Brosnan,Daniel Craig,Roger Moore,3,53
Le Roi Lion,Bambi,Shrek,Aladdin,1,54
Chine,Japon,Corée du Sud,Inde,2,55
L'Empire contre-attaque,Un Nouvel Espoir (A New Hope),La Menace fantôme,Le Retour du Jedi,2,56
Russell Crowe,Brad Pitt,Tom Hanks,Matt Damon,1,57
Avatar,The Matrix,Inception,Interstellar,2,58
Hercule Poirot,Sherlock Holmes,Columbo,Maigret,2,59
Ratatouille,Toy Story,Cars,Monstres & Cie,1,60
Rugby,Football,Handball,Basket,1,61
"9","12","11","10",3,62
LeBron James,Michael Jordan,Stephen Curry,Kobe Bryant,1,63
Natation,Course à pied,Boxe,Ski,2,64
France,Italie,Brésil,Allemagne,1,65
Badminton,Golf,Tennis,Squash,3,66
"5","7","6","9",1,67
Angleterre,France,Espagne,Italie,1,68
Patinage artistique,Curling,Hockey sur glace,Baseball,3,69
Vuelta,Tour de France,Giro,Paris-Roubaix,2,70
Tennis,Volley,Badminton,Ping-pong,3,71
"10 km","42","195 km","21 km",1,72
Gymnastique,Natation,Athlétisme,Football,2,73
Basketball,Football (soccer),Rugby,Tennis,2,74
Zinedine Zidane,Diego Maradona,Pelé,Lionel Messi,2,75
Cricket,Golf,Rugby,Baseball,4,76
Surf,Ski,Skateboard,Snowboard,1,77
Christian Coleman,Justin Gatlin,Carl Lewis,Usain Bolt,4,78
Football américain,Rugby,Basket,Handball,1,79
Roland-Garros,US Open,Wimbledon,Australian Open,3,80
Canberra,Perth,Sydney,Melbourne,1,81
Kalahari,Sahara,Gobi,Désert d'Arabie,2,82
Afrique,Amérique du Nord,Europe,Amérique du Sud,4,83
Nil,Mississippi,Amazon,Yangtsé,1,84
Océan Pacifique,Mer Méditerranée,Océan Atlantique,Océan Indien,3,85
Rome,Florence,Milan,Naples,1,86
États-Unis,Russie,Chine,Inde,3,87
"30","27","25","35",2,88
K2,Everest,Mont Blanc,Kangchenjunga,2,89
Thaïlande,Japon,Chine,Corée du Sud,2,90
Paris,Venise,Rome,Athènes,3,91
Mer Rouge,Mer Noire,Mer Égée,Mer Méditerranée,4,92
Algérie,Égypte,Nigeria,Maroc,1,93
Seine,Garonne,Rhône,Loire,1,94
Montréal,Ottawa,Toronto,Vancouver,2,95
Texas,Alaska,Nevada,Californie,2,96
Asie,Afrique,Europe,Amérique,2,97
Pays-Bas,Allemagne,Belgique,Danemark,1,98
San Francisco,Los Angeles,Miami,New York,2,99
Groenland,Islande,Australie,Madagascar,1,100
